"","user_id","song_id","listen_count"
"70320","8fa12cdf352823218ad7cc899e86837d2acbda25","SOBFGZA12A8AE4542A",1
"70321","8fa12cdf352823218ad7cc899e86837d2acbda25","SOCVTLJ12A6310F0FD",1
"70322","8fa12cdf352823218ad7cc899e86837d2acbda25","SOEIAOV12A8AE46AC4",3
"70323","8fa12cdf352823218ad7cc899e86837d2acbda25","SOGXQGE12AB01872A3",1
"70324","8fa12cdf352823218ad7cc899e86837d2acbda25","SOIBOUB12A58A7A338",1
"70325","8fa12cdf352823218ad7cc899e86837d2acbda25","SOOYDAZ12A58A7AE08",1
"70326","8fa12cdf352823218ad7cc899e86837d2acbda25","SOTQRPK12A67020473",2
"70327","8fa12cdf352823218ad7cc899e86837d2acbda25","SOUPYMU12A8AE45437",2
"70328","8fa12cdf352823218ad7cc899e86837d2acbda25","SOWTQFH12A58A7ED62",2
"70329","8fa12cdf352823218ad7cc899e86837d2acbda25","SOXFPND12AB017C9D1",1
"74521","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOAZXRD12A6D4F75A3",1
"74522","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOCANXR12A8C13898D",1
"74523","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOGNXEQ12A81C2302C",1
"74524","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOKPHDM12A8C1389A4",1
"74525","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOPFRUM12A6D4F75A0",1
"74526","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOPKMSM12AAA15FB7E",1
"74527","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOPWRJY12A67ADE34C",1
"74528","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOSYSJI12A8C13C24D",1
"74529","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOTVXXZ12A6D4F75A6",1
"74530","4a041585cdb5789d8e7157f059454ca9dc7c8512","SOXMHBX12A6D4F75A7",1
"76693","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOADJQJ12A8C141D38",1
"76694","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOBJDVT12A6701E079",3
"76695","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOBLBER12A6D4FCAEE",6
"76696","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOBOUPA12A6D4F81F1",14
"76697","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOBYZRW12A58A7ABF1",1
"76698","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOCHBAR12AB0187BA9",1
"76699","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOCYBFA12A8C13202B",1
"76700","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SODFCYY12A58A78381",10
"76701","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOEITPB12A8C133BA8",2
"76702","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOEKKIV12A6701D247",1
"76703","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOFETST12AB018759C",2
"76704","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOHSTLE12A8C132425",1
"76705","6e5fb193ea8f41b22366d365f70fa9effe1053dc","SOIQFOL12A81C1FCFF",1
