"user_id","rating","title"
"9d100b4175fed9da71b76800b921c4a40d0208b5",4.55,"Undo"
"9d100b4175fed9da71b76800b921c4a40d0208b5",4.55,"Dog Days Are Over (Radio Edit)"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Lucky (Album Version)"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Bleed It Out [Live At Milton Keynes]"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Clocks"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Planet Caravan (Remastered LP Version)"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Just Dance"
"9d100b4175fed9da71b76800b921c4a40d0208b5",11.36,"Sehr kosmisch"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"5 Minutes Alone [Live Version]"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"The Scientist"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Bulletproof"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Grillz"
"9d100b4175fed9da71b76800b921c4a40d0208b5",6.82,"Secrets"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Alejandro"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Air Force Ones"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Master Of Puppets"
"9d100b4175fed9da71b76800b921c4a40d0208b5",4.55,"Revelry"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Love Story"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Love Story"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Hot In Herre"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Hell Alright (Bassface Sascha & Franksen Remix)"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Becoming [Live Version]"
"9d100b4175fed9da71b76800b921c4a40d0208b5",9.09,"OMG"
"9d100b4175fed9da71b76800b921c4a40d0208b5",6.82,"Drop The World"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Ride Wit Me"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Zero"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Use Somebody"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Use Somebody"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"El Hombre Dirigente"
"9d100b4175fed9da71b76800b921c4a40d0208b5",2.27,"Heart Attack and Vine"
"cb46258e32ab652e35c455a393f928f290e72d77",7.14,"You And Me (Wedding Version)"
"cb46258e32ab652e35c455a393f928f290e72d77",7.14,"Undo"
"cb46258e32ab652e35c455a393f928f290e72d77",35.71,"Automotywacja"
"cb46258e32ab652e35c455a393f928f290e72d77",14.29,"Lead Me"
"cb46258e32ab652e35c455a393f928f290e72d77",7.14,"Love Story"
"cb46258e32ab652e35c455a393f928f290e72d77",7.14,"Love Story"
"cb46258e32ab652e35c455a393f928f290e72d77",14.29,"Man Of A Thousand Faces (Album Version)"
"cb46258e32ab652e35c455a393f928f290e72d77",7.14,"Venus"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",1.71,"Back Against The Wall"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Harder Better Faster Stronger"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Dog Days Are Over (Radio Edit)"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Making Time"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Lucky (Album Version)"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Wherever You Will Go"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",1.71,"Enter Sandman"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Tim McGraw"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",1.71,"Sonrisa"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Hey_ Soul Sister"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"The Sound of Goodbye"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Timeless"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Dance with a Devil"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",1.71,"Hotel California"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"The Funeral (Album Version)"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Feel The Love"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Monster"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Sehr kosmisch"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",0.85,"Silver Bath"
"041b7d20f25aaf9a8099fa3f1b27f808865e6741",1.71,"Love All The Pain Away"
