"","user_id","listen_count","song_id","title"
"56","8937134734f869debcab8f23d77465b4caaa85df",5,"SOJQOIK12AF72A0AAF","Streets On Lock"
"57","8937134734f869debcab8f23d77465b4caaa85df",5,"SOVHVBJ12A58A7AB0A","The Way Things Go"
"29230","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOANQFY12AB0183239","Uprising"
"29231","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",3,"SOBMVXX12A8C13D19E","Prince Caspian"
"29232","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOBNVYD12AB018D1E9","Lady Dada's Nightmare"
"29233","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",3,"SOCRWTG12A8AE47DCA","Wish You Were Intro/Wish You Were"
"29234","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SODUPLP12A6D4FB8E3","Screenager"
"29235","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOEQJDY12A58A7F465","I Belong To You [+Mon Coeur S'Ouvre A Ta Voix]"
"29236","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOGNKUN12AB018D192","It's Working"
"29237","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOIZLKI12A6D4F7B61","Supermassive Black Hole (Twilight Soundtrack Version)"
"29238","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOIZLKI12A6D4F7B61","Supermassive Black Hole (Album Version)"
"29239","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",9,"SOJKUHQ12AB018182A","Bouncing Around The Room (LP Version)"
"29240","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOKCRPL12AB018D1A2","Someone's Missing"
"29241","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",5,"SORPAZI12A8C13EB5C","Billy Breathes"
"29242","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",7,"SOWOMMY127F8096DF9","Time To Pretend"
"29243","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOXAQJS12AB018CBF7","Resistance"
"29244","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOXPFLM12A8AE48C50","Electric Feel"
"29245","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOYCHDB12A8C13F2C8","Can't Take My Eyes Off You"
"29246","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOYCHDB12A8C13F2C8","Can't Take My Eyes Off You"
"29247","5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"SOZAGKC12AB018CC0F","Guiding Light"
"30000","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOBGNMG12A8C133DFD","Waiting For A Girl Like You"
"30001","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SODJANU12AB0188D30","Jazz Street"
"30002","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SODNVPY12A8C139254","Maxine"
"30003","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOFLJQZ12A6D4FADA6","Tive Sim"
"30004","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOHVYFM12A58A77A42","Life Without You"
"30005","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOKQHXV12AB0185B3D","Bérangère's Nightmare"
"30006","8df03f1f39b99c9ded7a636fff3f840484d02ab1",2,"SONBQOV12A67AE0C75","Sulk"
"30007","8df03f1f39b99c9ded7a636fff3f840484d02ab1",5,"SOQQQMM12A6310DFCC","(Nice Dream)"
"30008","8df03f1f39b99c9ded7a636fff3f840484d02ab1",2,"SOTLLRE12A6D4F8EFF","Breaking Down The Walls Of Heartache"
"30009","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOVCSRH12A8C143608","All Apologies"
"30010","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOXGTRO12A8C143454","If It's Love"
"30011","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOYTNLI12A8C13924C","End Of The Line"
"30012","8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"SOZUNPW12A8C1367C1","Movin' Out"
"37616","04012eff4ce1c2950566a22947f9176ac9161e03",5,"SOFSLOC12A8C13F8BD","Black Betty"
"37617","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SOHQFNK12A6701C0B9","Home (Album Version)"
"37618","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SONNECW12A6701C0BA","Can't Buy Me Love (Album Version)"
"37619","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SOPSOHT12A67AE0235","Almaz"
"37620","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SORIJHN12AB018C4D0","Mack The Knife (Album Version)"
"37621","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SORULWJ12A6701C0BB","The More I See You (Album Version)"
"37622","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SOTCWRK12AB017E47D","Jambalaya"
"37623","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SOWGPQK12A6701F299","Can't Help Falling In Love (Album Version) (Studio)"
"37624","04012eff4ce1c2950566a22947f9176ac9161e03",1,"SOZEGGJ12A6701C0BF","You And I (Album Version)"
"73101","ec52a863cc6e439053009f5112aae481a976330e",3,"SOALJBV12AB017FC3A","I'm Only Me When I'm With You"
