"user_id","listen_count","title"
"8937134734f869debcab8f23d77465b4caaa85df",5,"Streets On Lock"
"8937134734f869debcab8f23d77465b4caaa85df",5,"The Way Things Go"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Uprising"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",3,"Prince Caspian"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Lady Dada's Nightmare"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",3,"Wish You Were Intro/Wish You Were"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Screenager"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"I Belong To You [+Mon Coeur S'Ouvre A Ta Voix]"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"It's Working"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Supermassive Black Hole (Twilight Soundtrack Version)"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Supermassive Black Hole (Album Version)"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",9,"Bouncing Around The Room (LP Version)"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Someone's Missing"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",5,"Billy Breathes"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",7,"Time To Pretend"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Resistance"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Electric Feel"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Can't Take My Eyes Off You"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Can't Take My Eyes Off You"
"5a8cf3fdb326ec8badf9f5aec7ae299ad6ac5eb6",1,"Guiding Light"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Waiting For A Girl Like You"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Jazz Street"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Maxine"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Tive Sim"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Life Without You"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Bérangère's Nightmare"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",2,"Sulk"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",5,"(Nice Dream)"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",2,"Breaking Down The Walls Of Heartache"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"All Apologies"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"If It's Love"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"End Of The Line"
"8df03f1f39b99c9ded7a636fff3f840484d02ab1",1,"Movin' Out"
"04012eff4ce1c2950566a22947f9176ac9161e03",5,"Black Betty"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Home (Album Version)"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Can't Buy Me Love (Album Version)"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Almaz"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Mack The Knife (Album Version)"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"The More I See You (Album Version)"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Jambalaya"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"Can't Help Falling In Love (Album Version) (Studio)"
"04012eff4ce1c2950566a22947f9176ac9161e03",1,"You And I (Album Version)"
"ec52a863cc6e439053009f5112aae481a976330e",3,"I'm Only Me When I'm With You"
"ec52a863cc6e439053009f5112aae481a976330e",4,"Australia"
"ec52a863cc6e439053009f5112aae481a976330e",8,"S.O.S."
"ec52a863cc6e439053009f5112aae481a976330e",3,"Tied Together With A Smile"
"ec52a863cc6e439053009f5112aae481a976330e",7,"Tim McGraw"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Tenuousness"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Faith"
"ec52a863cc6e439053009f5112aae481a976330e",7,"Kids Of The Future"
"ec52a863cc6e439053009f5112aae481a976330e",10,"Youth Against Fascism"
"ec52a863cc6e439053009f5112aae481a976330e",8,"Goodnight And Goodbye"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Games"
"ec52a863cc6e439053009f5112aae481a976330e",2,"The Outside"
"ec52a863cc6e439053009f5112aae481a976330e",5,"Still In Love With You"
"ec52a863cc6e439053009f5112aae481a976330e",4,"Loba"
"ec52a863cc6e439053009f5112aae481a976330e",4,"Burn It To The Ground (Album Version)"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Orange Trägt Nur Die Müllabfuhr (Go West)"
"ec52a863cc6e439053009f5112aae481a976330e",4,"Year 3000"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Here_ There And Everywhere"
"ec52a863cc6e439053009f5112aae481a976330e",8,"Hold On"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Gunpowder & Lead"
"ec52a863cc6e439053009f5112aae481a976330e",9,"When You Look Me In The Eyes"
"ec52a863cc6e439053009f5112aae481a976330e",1,"I Don't Want To Be Late"
"ec52a863cc6e439053009f5112aae481a976330e",6,"Feelin' Way Too Damn Good"
"ec52a863cc6e439053009f5112aae481a976330e",15,"Un Camino Hasta Vos"
"ec52a863cc6e439053009f5112aae481a976330e",1,"You Belong With Me"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Pills Drunk Daddy"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Toxic"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Our Song"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Cold As You"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Cold As You"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Untouchable"
"ec52a863cc6e439053009f5112aae481a976330e",1,"Heaven"
"ec52a863cc6e439053009f5112aae481a976330e",19,"Rain Is A Good Thing"
"ec52a863cc6e439053009f5112aae481a976330e",2,"Crazier"
